repeat,step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_mm
8,1,0.008333333333333333,0.0,0.6,0.1581638870816116,-0.045353145664513816,0.5531312789671138,163.4098518126763
8,2,0.016666666666666666,0.0,0.6,0.15048773637478252,-0.042453089929604684,0.5540820872482082,147.7118758051521
8,3,0.025,0.0,0.6,0.14814737759675978,-0.03956505319897127,0.5581995994283329,135.93359971525874
8,4,0.03333333333333333,0.0,0.6,0.14670212672258748,-0.03640332498213976,0.5630844286756178,124.66132034635372
8,5,0.041666666666666664,0.0,0.6,0.1452643633223309,-0.0328994474290099,0.5681800438606172,113.25796220224633
8,6,0.05,0.0,0.6,0.14362289403649997,-0.02905945869476671,0.5733560397366507,101.58542733048617
8,7,0.058333333333333334,0.0,0.6,0.14169521961841197,-0.02493211059038037,0.5785694713708969,89.61072358161242
8,8,0.06666666666666667,0.0,0.6,0.13942315534295982,-0.02059753836923333,0.5837925799394067,77.33334142784814
8,9,0.075,0.0,0.6,0.1367600380215058,-0.016153604064078064,0.5889959060003039,64.77909620727189
8,10,0.08333333333333333,0.0,0.6,0.13367411954640676,-0.01169926830457992,0.5941456054223186,52.01289812425468
8,11,0.09166666666666666,0.0,0.6,0.13016094004802437,-0.007321697464472735,0.5991943197245548,39.19267096825901
8,12,0.1,0.0,0.6,0.12623905008349215,-0.0030843913647581158,0.6040917254304348,26.734686015980632
8,13,0.10833333333333334,0.0,0.6,0.1218226256113291,0.00048263726835582796,0.6087894419148315,16.10739687436179
8,14,0.11666666666666667,0.0,0.6,0.11712945643862828,0.0036532298007836573,0.6131837709719493,13.688392140466318
8,15,0.125,0.0,0.6,0.11628669791426981,0.005610442973344735,0.6156221216474351,18.74698344698702
8,16,0.13333333333333333,0.0,0.6,0.12412294458955055,0.0052317744513225226,0.6141468882386725,17.673063445781036
8,17,0.14166666666666666,0.0,0.6,0.13413119984230135,0.004104947144596511,0.6111742807911181,14.088946111040155
8,18,0.15,0.0,0.6,0.14448105382987905,0.0026733554252811216,0.6073825568844725,9.597277854217072
8,19,0.15833333333333333,0.0,0.6,0.15473698084832718,0.0010470089015891183,0.6029522514205651,4.769252277521641
8,20,0.16666666666666666,0.0,0.6,0.1638923909587994,0.00026406499956701303,0.6007781232532237,2.893408340429347
8,21,0.175,0.0,0.6,0.17239987316899916,9.038920158390605e-05,0.600287655814153,2.617551453643164
8,22,0.18333333333333332,0.0,0.6,0.18077002385233565,5.578578564318729e-05,0.6001853514364095,2.5706074582151697
8,23,0.19166666666666668,0.0,0.6,0.18911652269005957,4.88634172815957e-05,0.6001620343360847,2.555753716821001
8,24,0.2,0.0,0.6,0.19745977086004285,4.6671369640582636e-05,0.6001537879858168,2.5453080451711956
8,25,0.20833333333333334,0.0,0.6,0.20580246543265662,4.5753293787297374e-05,0.6001484284790799,2.535629450051831
8,26,0.21666666666666667,0.0,0.6,0.2141449638022219,4.550662020726665e-05,0.6001435001737572,2.5261924884893556
8,27,0.225,0.0,0.6,0.22248764375258165,4.5061270507122596e-05,0.6001380813633834,2.5165513892936096
8,28,0.23333333333333334,0.0,0.6,0.23083037291609995,4.440103961421108e-05,0.6001321523497198,2.5068399522291855
8,29,0.24166666666666667,0.0,0.6,0.239173033373993,4.352454175318883e-05,0.6001257931950977,2.4971834758379683
8,30,0.25,0.0,0.6,0.2475155606584694,4.2380374138063586e-05,0.6001190739440264,2.487652214840939
9,0,0.0,0.0,0.6,0.20587078827834948,-0.05054666727732722,0.5507149384903595,217.6390689357103
9,1,0.008333333333333333,0.0,0.6,0.1581638870816116,-0.045353145664513816,0.5531312789671138,163.4098518126763
9,2,0.016666666666666666,0.0,0.6,0.15048773637478252,-0.042453089929604684,0.5540820872482082,147.7118758051521
9,3,0.025,0.0,0.6,0.14814737759675978,-0.03956505319897127,0.5581995994283329,135.93359971525874
9,4,0.03333333333333333,0.0,0.6,0.14670212672258748,-0.03640332498213976,0.5630844286756178,124.66132034635372
9,5,0.041666666666666664,0.0,0.6,0.1452643633223309,-0.0328994474290099,0.5681800438606172,113.25796220224633
9,6,0.05,0.0,0.6,0.14362289403649997,-0.02905945869476671,0.5733560397366507,101.58542733048617
9,7,0.058333333333333334,0.0,0.6,0.14169521961841197,-0.02493211059038037,0.5785694713708969,89.61072358161242
9,8,0.06666666666666667,0.0,0.6,0.13942315534295982,-0.02059753836923333,0.5837925799394067,77.33334142784814
9,9,0.075,0.0,0.6,0.1367600380215058,-0.016153604064078064,0.5889959060003039,64.77909620727189
9,10,0.08333333333333333,0.0,0.6,0.13367411954640676,-0.01169926830457992,0.5941456054223186,52.01289812425468
9,11,0.09166666666666666,0.0,0.6,0.13016094004802437,-0.007321697464472735,0.5991943197245548,39.19267096825901
9,12,0.1,0.0,0.6,0.12623905008349215,-0.0030843913647581158,0.6040917254304348,26.734686015980632
9,13,0.10833333333333334,0.0,0.6,0.1218226256113291,0.00048263726835582796,0.6087894419148315,16.10739687436179
9,14,0.11666666666666667,0.0,0.6,0.11712945643862828,0.0036532298007836573,0.6131837709719493,13.688392140466318
9,15,0.125,0.0,0.6,0.11628669791426981,0.005610442973344735,0.6156221216474351,18.74698344698702
9,16,0.13333333333333333,0.0,0.6,0.12412294458955055,0.0052317744513225226,0.6141468882386725,17.673063445781036
9,17,0.14166666666666666,0.0,0.6,0.13413119984230135,0.004104947144596511,0.6111742807911181,14.088946111040155
9,18,0.15,0.0,0.6,0.14448105382987905,0.0026733554252811216,0.6073825568844725,9.597277854217072
9,19,0.15833333333333333,0.0,0.6,0.15473698084832718,0.0010470089015891183,0.6029522514205651,4.769252277521641
9,20,0.16666666666666666,0.0,0.6,0.1638923909587994,0.00026406499956701303,0.6007781232532237,2.893408340429347
9,21,0.175,0.0,0.6,0.17239987316899916,9.038920158390605e-05,0.600287655814153,2.617551453643164
9,22,0.18333333333333332,0.0,0.6,0.18077002385233565,5.578578564318729e-05,0.6001853514364095,2.5706074582151697
9,23,0.19166666666666668,0.0,0.6,0.18911652269005957,4.88634172815957e-05,0.6001620343360847,2.555753716821001
9,24,0.2,0.0,0.6,0.19745977086004285,4.6671369640582636e-05,0.6001537879858168,2.5453080451711956
9,25,0.20833333333333334,0.0,0.6,0.20580246543265662,4.5753293787297374e-05,0.6001484284790799,2.535629450051831
9,26,0.21666666666666667,0.0,0.6,0.2141449638022219,4.550662020726665e-05,0.6001435001737572,2.5261924884893556
9,27,0.225,0.0,0.6,0.22248764375258165,4.5061270507122596e-05,0.6001380813633834,2.5165513892936096
9,28,0.23333333333333334,0.0,0.6,0.23083037291609995,4.440103961421108e-05,0.6001321523497198,2.5068399522291855
9,29,0.24166666666666667,0.0,0.6,0.239173033373993,4.352454175318883e-05,0.6001257931950977,2.4971834758379683
9,30,0.25,0.0,0.6,0.2475155606584694,4.2380374138063586e-05,0.6001190739440264,2.487652214840939
